GL-000024	NSCLC SOC Genes 9	ALK BRAF EGFR ERBB2 KRAS MET PIK3CA RET ROS1
GL-000722	Neuronal ceroid lipofuscinosis and epilepsy_CE 163	AARS ABCC8 ADRA2B ADSL AFG3L2 AGTR2 AKT3 ALDH7A1 ALG13 AMT AP3B2 ARFGEF2 ASAH1 ASNS ATP13A2 ATP1A2 ATP1A3 ATP6AP2 BRAT1 CACNA1A CACNA1G CACNA1H CACNB4 CASR CBL CDKL5 CHD2 CHRNA7 CHRNB2 CLCN2 CLN3 CLN5 CLN6 CLN8 CNTNAP2 COL4A1 COL6A2 CPA6 CRH CSTB CTSD DCX DNAJC5 DNM1 DRD2 DYNC1H1 DYRK1A EFHC1 EIF2B5 FARS2 FASN FIG4 FLNA FOLR1 GABBR1 GABRA1 GABRA6 GABRB3 GABRD GABRG2 GATM GLDC GOSR2 GPHN GRIK2 GRIN1 GRIN2A GRIN2B GRN HCN1 HNRNPU HSD17B10 IER3IP1 IQSEC2 ITPA JRK KANSL1 KCNA1 KCND2 KCNH2 KCNJ10 KCNJ2 KCNMA1 KCNQ2 KCNQ3 KCTD7 KIAA2022 LGI1 LIAS LMNB2 MAGI2 MBD5 MECP2 MEF2C MFSD8 MOCS1 MTHFR NEB NEDD4L NEU1 NHLRC1 NID1 NR2F1 NRXN1 OPA1 PCDH19 PCDHB4 PHF6 PIGA PIGN PIGO PIGV PLCB1 PNKP PNPO POLG PPP1R3C PPT1 PRICKLE1 PRICKLE2 PRRT2 PSEN1 PTEN RBFOX1 RELN ROGDI RYR3 SACS SCARB2 SCN1A SCN1B SCN2A SCN3A SCN4A SCN5A SCN8A SCN9A SERPINI1 SLC1A2 SLC25A12 SLC25A22 SLC2A1 SLC6A1 SLC9A6 SMC1A SNIP1 SPTAN1 SRPX2 ST3GAL3 ST3GAL5 STXBP1 SYNGAP1 TBC1D24 TBL1XR1 TCF4 TK2 TPP1 TSC1 UBE3A USP9X WDR62 WWOX ZEB2
GL-000723	Dravet syndrome_CE 8	GABRA1 GABRG2 PCDH19 SCN1A SCN1B SCN2A SCN9A STXBP1
GL-000724	Neurological disorders and mitochondrial disorders_CE 936	AAAS AARS AARS2 ABCB7 ABCC8 ABCC9 ABCD1 ABHD12 ACACA ACAD8 ACAD9 ACADL ACADM ACADS ACADSB ACADVL ACAT1 ACAT2 ACOX1 ACSL4 ACTA1 ACTB ACTG1 ADAR ADCK3 ADCY5 ADNP ADRA2B ADSL AFF2 AFG3L2 AGK AGTR2 AHI1 AIFM1 AIMP1 AKT3 ALDH18A1 ALDH7A1 ALG12 ALG13 ALS2 AMT ANG ANK3 ANKRD11 ANO10 ANO5 AP1S1 AP1S2 AP3B2 AP4B1 AP4E1 AP4M1 AP4S1 AP5Z1 APEX1 APOA1 APTX ARFGEF2 ARHGEF10 ARHGEF6 ARID1A ARID1B ARL13B ARSA ARSB ASAH1 ASNS ASPA ASPM ASXL1 ATCAY ATL1 ATM ATP10A ATP13A2 ATP1A2 ATP1A3 ATP2A1 ATP2B4 ATP5E ATP6AP2 ATP6V0A2 ATP7A ATP7B ATP8A2 ATPAF2 ATR ATRX AUH AUTS2 B3GNT1 B9D1 B9D2 BAG3 BANF1 BCAP31 BCL11A BCOR BCS1L BIN1 BMP4 BOLA3 BRAF BRAT1 BRWD3 BSCL2 BTD BUB1B C10ORF2 C12ORF57 C12ORF65 C19ORF12 C9ORF72 CA8 CACNA1A CACNA1C CACNA1G CACNA1H CACNB4 CACNG2 CAMTA1 CAPN3 CASC5 CASK CASR CAV3 CBL CBS CC2D1A CC2D2A CCDC88C CCT5 CD59 CDC6 CDH15 CDK5RAP2 CDKL5 CDON CDT1 CENPJ CEP135 CEP152 CEP290 CEP41 CEP63 CFL2 CHD2 CHGB CHKB CHMP2B CHRNA7 CHRNB2 CIC CISD2 CLCN1 CLCN2 CLIC2 CLN3 CLN5 CLN6 CLN8 CNNM2 CNTN1 CNTN4 CNTNAP2 COA5 COL12A1 COL4A1 COL4A2 COL6A1 COL6A2 COL6A3 COQ2 COQ4 COQ6 COQ9 COX10 COX15 COX6B1 CP CPA6 CPS1 CPT1A CPT1B CPT2 CRADD CRBN CREBBP CRH CRYAB CRYM CSF1R CSTB CTC1 CTDP1 CTNNB1 CTSD CUL4B CYP27A1 CYP7B1 D2HGDH DAG1 DAO DARS2 DCAF17 DCTN1 DCX DEAF1 DES DFNB59 DGUOK DHCR7 DHH DIABLO DIAPH1 DIAPH3 DIP2B DISP1 DLD DLG3 DMD DNAJB2 DNAJB6 DNAJC19 DNAJC5 DNM1 DNM1L DNM2 DNMT1 DOCK8 DPM1 DPM3 DPP6 DRD2 DRD5 DST DYNC1H1 DYRK1A DYSF EARS2 EFHC1 EFHC2 EFTUD2 EGR2 EHMT1 EIF2B1 EIF2B2 EIF2B3 EIF2B4 EIF2B5 ELAC2 ELK1 ELOVL4 ELP2 EMD EMG1 EMX2 ENTPD1 EOMES EP300 EPB41L1 ERBB4 ERCC2 ERCC4 ERCC6 ERCC8 ERLIN2 ESCO2 ETFA ETFB ETFDH ETHE1 EXOSC3 EZH2 FA2H FAM126A FAM134B FARS2 FASN FASTKD2 FBLN5 FBXO7 FGD1 FGD4 FGF14 FGF8 FGFR2 FGFR3 FH FHL1 FIG4 FKBP14 FKRP FKTN FLNA FLNC FLVCR1 FLVCR2 FMR1 FOLR1 FOXP1 FOXRED1 FRG1 FTL FTSJ1 FUS FXN GAA GABBR1 GABRA1 GABRA5 GABRA6 GABRB3 GABRD GABRG2 GAD1 GALC GALNS GAN GARS GATM GBA GBE1 GCDH GCH1 GDAP1 GDI1 GFAP GFER GFM1 GJB1 GJB3 GLA GLB1 GLDC GLE1 GLI2 GLI3 GNE GNS GOSR2 GPC3 GPHN GPR56 GPSM2 GRIA3 GRIK2 GRIN1 GRIN2A GRIN2B GRM1 GRN GRPR GSN GUSB HACE1 HADH HADHA HADHB HARS HARS2 HCCS HCN1 HDAC4 HDAC8 HEPACAM HERC2 HESX1 HGSNAT HK1 HMGCL HMGCS2 HNRNPU HOGA1 HOXA1 HOXD10 HPRT1 HRAS HSD17B10 HSD17B4 HSPB1 HSPB3 HSPB8 HSPD1 HSPG2 HTRA1 HUWE1 HYLS1 IDH2 IDS IDUA IER3IP1 IFIH1 IFRD1 IGBP1 IGF1 IGF1R IGHMBP2 IKBKAP IL1RAPL1 INF2 INPP5E IQSEC2 IRX5 ISCU ISPD ITGA7 ITGB3 ITPA ITPR1 JRK KANSL1 KARS KAT6B KATNAL2 KBTBD13 KCNA1 KCND2 KCNH2 KCNJ10 KCNJ2 KCNK9 KCNMA1 KCNQ2 KCNQ3 KCTD7 KDM5C KIAA0196 KIAA0226 KIAA1033 KIAA1279 KIAA2022 KIF11 KIF1A KIF1B KIF5A KIF7 KIRREL3 KLHL9 KRAS L1CAM L2HGDH LAMA1 LAMA2 LAMB1 LAMC3 LAMP2 LARGE LARS2 LDB3 LGI1 LIAS LITAF LMNA LMNB1 LMNB2 LPIN1 LRPPRC LRSAM1 MAGI2 MAGT1 MAN1B1 MAOA MAP2K1 MAP2K2 MARS2 MATR3 MBD1 MBD5 MBTPS2 MCM3AP MCPH1 MECP2 MED12 MED17 MED23 MED25 MEF2C MEGF10 MET MFN2 MFSD2A MFSD8 MGAT2 MID1 MKS1 MLC1 MLYCD MOCS1 MOCS2 MPV17 MPZ MRE11A MRPL3 MRPS16 MRPS22 MSMO1 MTFMT MTHFR MTM1 MTMR14 MTMR2 MTO1 MTPAP MTTP MYF6 MYH14 MYH2 MYH7 MYOT NAGLU NARS2 NBN NDE1 NDP NDRG1 NDST1 NDUFA1 NDUFA10 NDUFA11 NDUFA12 NDUFA13 NDUFA2 NDUFA4 NDUFA9 NDUFAF1 NDUFAF2 NDUFAF3 NDUFAF4 NDUFAF5 NDUFAF6 NDUFB3 NDUFB9 NDUFS1 NDUFS2 NDUFS3 NDUFS4 NDUFS7 NDUFS8 NDUFV1 NDUFV2 NEB NEDD4L NEFL NEU1 NFIX NFU1 NGF NHEJ1 NHLRC1 NID1 NIPBL NKX2 NLGN3 NLGN4X NOTCH3 NPC1 NPC2 NPHP1 NPHP3 NR2F1 NRXN1 NRXN2 NSD1 NSDHL NSUN2 NTNG1 NTRK1 NUBPL NXF5 OCLN OCRL OFD1 OMG OPA1 OPA3 OPHN1 OPTN ORAI1 ORC1 ORC4 ORC6 OTC OTOF OTX2 OXCT1 PABPN1 PAFAH1B1 PAK3 PANK2 PARK2 PARK7 PAX6 PCDH19 PCDHB4 PCK2 PCNT PDGFB PDHA1 PDHB PDHX PDSS1 PDSS2 PDYN PEX1 PEX10 PEX11B PEX12 PEX13 PEX14 PEX16 PEX19 PEX2 PEX26 PEX3 PEX5 PEX6 PEX7 PFN1 PGK1 PHF6 PHF8 PHGDH PHKA1 PHYH PIGA PIGL PIGN PIGO PIGV PIK3CA PIK3R2 PIK3R5 PINK1 PLA2G6 PLCB1 PLEC PLEKHG4 PLEKHG5 PLP1 PMM2 PMP22 PNKD PNKP PNPLA2 PNPLA6 PNPO POGZ POLG POLG2 POLR1C POLR3A POLR3B POMGNT1 POMGNT2 POMT1 POMT2 PON1 PON2 PON3 PORCN POU1F1 PPARG PPP1R3C PPP2R1A PPT1 PQBP1 PRF1 PRICKLE1 PRICKLE2 PRKCG PRKRA PRPS1 PRRT2 PRSS12 PRX PSAP PSEN1 PTCH1 PTCH2 PTCHD1 PTEN PUS1 PYGM RAB18 RAB39B RAB3GAP1 RAB3GAP2 RAB40AL RAB7A RAD21 RAI1 RARS2 RBBP8 RBFOX1 REEP1 RELN RIN2 RNASEH2A RNASEH2B RNASEH2C RNASET2 RNF135 RNF170 ROGDI ROR2 RPGRIP1L RPIA RPL10 RPS6KA3 RRM2B RTN2 RYR1 RYR3 SACS SAMHD1 SARS2 SATB2 SBF2 SCARB2 SCN10A SCN1A SCN1B SCN2A SCN3A SCN4A SCN5A SCN8A SCN9A SCO1 SCO2 SCP2 SDHA SDHAF2 SDHB SDHC SEPN1 SEPSECS SEPT9 SERPINI1 SETBP1 SETD2 SETX SGCA SGCB SGCD SGCE SGCG SGSH SH3TC2 SHROOM4 SIGMAR1 SIL1 SIX3 SKI SLC12A6 SLC16A1 SLC16A2 SLC19A3 SLC1A2 SLC1A3 SLC20A2 SLC22A5 SLC25A12 SLC25A13 SLC25A15 SLC25A19 SLC25A20 SLC25A22 SLC25A3 SLC25A38 SLC25A4 SLC2A1 SLC30A10 SLC33A1 SLC4A4 SLC5A7 SLC6A1 SLC6A3 SLC6A4 SLC9A6 SMARCA2 SMARCA4 SMARCB1 SMARCE1 SMC1A SMC3 SMS SNAP29 SNCA SNIP1 SNX10 SOBP SOD1 SOX10 SOX2 SPAST SPECC1L SPG11 SPG20 SPG21 SPG7 SPR SPTAN1 SPTBN2 SPTLC1 SPTLC2 SQSTM1 SRD5A3 SRPX2 ST3GAL3 ST3GAL5 STIL STIM1 STXBP1 SUCLA2 SUCLG1 SUFU SUMF1 SUN2 SURF1 SYNE1 SYNE2 SYNGAP1 SYP SYT14 SYT2 TACO1 TAF2 TARDBP TAZ TBC1D24 TBCE TBK1 TBL1XR1 TCAP TCF4 TCIRG1 TCTN1 TCTN2 TDGF1 TDP1 TECR TFB1M TGM6 TH THAP1 TIMM8A TK2 TMCO1 TMEM138 TMEM216 TMEM237 TMEM43 TMEM67 TMEM70 TMLHE TNNT1 TOR1A TPM2 TPM3 TPP1 TRAPPC9 TREX1 TRIM32 TRMU TRPC3 TRPM2 TRPM7 TRPV4 TSC1 TSC2 TSEN2 TSEN34 TSEN54 TSFM TSPAN7 TTBK2 TTC19 TTC21B TTI2 TTN TTPA TTR TUBA1A TUBA8 TUBB2B TUBB3 TUBGCP4 TUBGCP6 TUFM TUSC3 TXN2 TYMP TYROBP UBA1 UBE2A UBE3A UBQLN2 UPF3B UQCRB UQCRQ USP9X VAPB VCP VLDLR VPS13A VPS13B VRK1 WDR45 WDR62 WDR81 WFS1 WNK1 WWOX XK XPNPEP3 YARS YARS2 YWHAE ZBTB16 ZCCHC12 ZDHHC15 ZDHHC9 ZEB2 ZFYVE26 ZFYVE27 ZIC1 ZMYND11 ZNF41 ZNF592 ZNF674 ZNF711 ZNF81
GL-000726	CADASIL_CE 2	HTRA1 NOTCH3
GL-000727	Merosin deficient congenital muscular dystrophy_CE 1	LAMA2
GL-000729	Breast, ovarian and hereditary cancer predisposition test 33	APC ATM BMPR1A BRCA1 BRCA2 BRIP1 CDH1 CHEK2 MEN1 MLH1 MSH2 MSH6 MUTYH NBN NF2 PALB2 PMS2 PTEN RAD51C RAD51D RB1 RET SDHAF2 SDHB SDHC SDHD SMAD4 STK11 TP53 TSC1 TSC2 VHL WT1
GL-000730	Hereditary breast, ovarian, gynecological and hereditary cancer predisposition test 35	APC ATM BMPR1A BRCA1 BRCA2 BRIP1 CDH1 CHEK2 EPCAM MEN1 MLH1 MSH2 MSH6 MUTYH NBN NF1 NF2 PALB2 PMS2 PTEN RAD51C RAD51D RB1 RET SDHAF2 SDHB SDHC SDHD SMAD4 STK11 TP53 TSC1 TSC2 VHL WT1
GL-000731	GNE- related hereditary inclusion body myopathy_CE 1	GNE
GL-000733	Osteogenesis imperfecta and spondylocostal dysostosis_CE 18	ANO5 BMP1 COL1A1 COL1A2 CRTAP DLL3 FKBP10 HES7 IFITM5 LEPRE1 LRP5 MESP2 PLOD2 PPIB SERPINF1 SERPINH1 SP7 TBX6
GL-000736	Meckel-Gruber syndrome_CE 11	B9D1 B9D2 CC2D2A CEP290 MKS1 NPHP3 RPGRIP1L TCTN2 TMEM216 TMEM67 WDPCP
GL-000737	Cockayne syndrome and xeroderma pigmentosa_CE 11	DDB2 ERCC2 ERCC3 ERCC4 ERCC5 ERCC6 ERCC8 POLH UVSSA XPA XPC
GL-000740	Usher syndrome_CE 14	ABHD12 CDH23 CIB2 CLRN1 DFNB31 GJB2 GPR98 HARS MYO7A PCDH15 PDZD7 USH1C USH1G USH2A
GL-000741	Hereditary spastic paraplegia and encephalopathy_CE 180	AARS ABCD1 ACAD9 ACADM ACY1 ALDH18A1 ALG13 ALS2 AMT AP3B2 AP4B1 AP4E1 AP4M1 AP4S1 AP5Z1 ASNS ATL1 ATP1A3 ATP2B4 BCS1L BSCL2 C10ORF2 C12ORF65 C19ORF12 CACNA1A CCT5 CDKL5 CHD2 COQ2 COX10 COX15 COX6B1 CPS1 CPT2 CYP7B1 D2HGDH DLD DNM1 DNM1L EIF2B1 EIF2B2 EIF2B3 EIF2B4 EIF2B5 ELOVL4 ENTPD1 ERLIN2 ETHE1 EXOSC3 FA2H FADD FARS2 FASTKD2 FH FOXRED1 GABRA1 GABRB3 GAD1 GBA GCDH GFM1 GLDC GRIN2A GRIN2B HACE1 HCN1 HSPD1 HTRA1 IFIH1 ITPA KCNQ2 KDM5C KIAA0196 KIF1A KIF5A L1CAM LIAS MAPK10 MBD5 MCCC2 MECP2 MEF2C MFN2 MOCS1 MOCS2 NDUFA1 NDUFA10 NDUFA11 NDUFA12 NDUFA2 NDUFA9 NDUFAF1 NDUFAF2 NDUFAF3 NDUFAF4 NDUFAF5 NDUFAF6 NDUFB3 NDUFB9 NDUFS1 NDUFS2 NDUFS3 NDUFS4 NDUFS7 NDUFS8 NDUFV1 NDUFV2 NHS NUBPL OTC PC PCDH19 PDHX PGK1 PIGA PIGV PLCB1 PLP1 PNKP PNPLA6 PNPO POLG PSEN1 RAB3GAP2 RANBP2 RARS2 REEP1 RNASEH2B RNASET2 ROGDI RRM2B RTN2 SACS SCN1A SCN2A SCN8A SCN9A SCO1 SDHA SERPINI1 SLC16A2 SLC19A3 SLC1A2 SLC25A12 SLC25A22 SLC2A1 SLC33A1 SLC6A19 SPAST SPG11 SPG20 SPG21 SPG7 SPTAN1 SRGAP2 ST3GAL3 STXBP1 SURF1 SYNGAP1 TACO1 TBC1D24 TBCE TCF4 TICAM1 TLR3 TPK1 TRAF3 TREX1 TSEN54 TUFM TYMP UGT1A1 UNC80 UNC93B1 USP9X VCP WDR45 WWOX ZFYVE26 ZFYVE27
GL-000742	Larsen syndrome, hereditary spastic paraplegia and lysosomal storage disorders_CE 115	ABCD1 ABCD4 AGA ALDH18A1 ALS2 AP3B1 AP4B1 AP4E1 AP4M1 AP4S1 AP5Z1 ARSA ARSB ASAH1 ATL1 ATP13A2 ATP2B4 BLOC1S6 BSCL2 C12ORF65 C19ORF12 CCT5 CLN3 CLN5 CLN6 CLN8 CTNS CTSA CTSC CTSD CTSK CYP7B1 DNAJC5 DTNBP1 ELOVL4 ENTPD1 ERLIN2 EXOSC3 FA2H FARS2 FIG4 FLNB FUCA1 GAA GAD1 GALC GALNS GBA GLA GLB1 GM2A GNE GNPTAB GNPTG GNS GRN GUSB HACE1 HEXA HEXB HGSNAT HPS1 HPS3 HPS4 HPS5 HPS6 HSPD1 HYAL1 IDS IDUA IFIH1 KCTD7 KDM5C KIAA0196 KIF1A KIF5A L1CAM LAMP2 LIPA LMBRD1 LYST MAN2B1 MANBA MCOLN1 MFSD8 NAGA NAGLU NEU1 NPC1 NPC2 PLP1 PNPLA6 PPT1 PSAP PSEN1 RAB3GAP2 REEP1 RNASEH2B RTN2 SACS SGSH SLC16A2 SLC17A5 SLC33A1 SMPD1 SPAST SPG11 SPG20 SPG21 SPG7 SUMF1 TPP1 VCP ZFYVE26 ZFYVE27
GL-000743	Focal segmental glomerulosclerosis, mitochondrial respiratory chain disorders and neuropathies_CE 204	AAAS AARS AARS2 ABCD1 ABHD12 ACAD9 ACTN4 ADCK3 AFG3L2 AGK AIFM1 AP1S1 APOA1 APOL1 APTX ARHGEF10 ATL1 ATP5E ATP7A ATPAF2 BCS1L BSCL2 C10ORF2 C12ORF65 CCT5 CD2AP CD59 COA5 COL4A3 COL4A4 COQ2 COQ4 COQ6 COQ9 COX10 COX15 COX6B1 CTDP1 DCTN1 DFNB59 DGUOK DHH DIAPH3 DLD DNAJB2 DNM2 DNMT1 DRP2 DST DYNC1H1 EARS2 EGR2 ELAC2 ETHE1 FAM134B FARS2 FASTKD2 FBLN5 FGD4 FIG4 FOXRED1 GAN GARS GDAP1 GFM1 GJB1 GJB3 GLA GSN HADHB HARS HCCS HK1 HOXD10 HSPB1 HSPB3 HSPB8 HSPG2 IFRD1 IGHMBP2 IKBKAP INF2 KARS KIF1A KIF1B KIF5A LITAF LMNA LMX1B LRPPRC LRSAM1 MARS2 MCM3AP MED25 MFN2 MME MPV17 MPZ MRPL3 MRPS16 MRPS22 MTFMT MTMR2 MTO1 MYH14 MYO1E NAGLU NARS2 NDRG1 NDUFA1 NDUFA10 NDUFA11 NDUFA12 NDUFA13 NDUFA2 NDUFA4 NDUFA9 NDUFAF1 NDUFAF2 NDUFAF3 NDUFAF4 NDUFAF5 NDUFAF6 NDUFB3 NDUFB9 NDUFS1 NDUFS2 NDUFS3 NDUFS4 NDUFS7 NDUFS8 NDUFV1 NDUFV2 NEFL NGF NTRK1 NUBPL OPA1 OTOF PAX2 PDHA1 PDHB PDHX PDSS1 PDSS2 PHYH PLEKHG5 PMP22 PNPLA6 POLG POLG2 PRF1 PRPS1 PRX RAB7A REEP1 RPIA RRM2B SACS SBF2 SCN10A SCN9A SCO1 SCO2 SCP2 SDHA SDHAF2 SDHB SDHC SEPT9 SETX SH3TC2 SLC12A6 SLC19A3 SLC25A19 SLC25A4 SLC5A7 SNAP29 SOX10 SPG11 SPTLC1 SPTLC2 SUCLA2 SUCLG1 SURF1 SYT2 TACO1 TDP1 TK2 TMEM70 TRPC6 TRPV4 TSFM TTC19 TTR TUFM TXN2 TYMP UQCRB UQCRQ VCP VRK1 WNK1 YARS
GL-000745	Canavan disease and Pelizaeus-Merzbacher disease_CE 2	ASPA PLP1
GL-000746	Dummy_ACMG_test_list 15	ACTA2 ACTC1 AP1S2 APC APOB ATP7B CEP41 HDAC8 OMG OPHN1 PEX13 POMT1 PSAP SMS TUBA1A
GL-000747	Arthrogryposis_CE 24	ADCY6 CENPJ CHRNG CHST14 DOK7 FBN2 FKBP10 GLE1 MAGEL2 MUSK MYBPC1 MYH3 MYH8 NEB PIEZO2 RAPSN RYR1 SYNE1 TNNI2 TNNT3 TPM2 UBA1 VIPAS39 VPS33B
GL-000749	Hereditary rare cancer predisposition test_BWS_SGBS_SOTOS 2	GPC3 NSD1
GL-000750	Hereditary breast, ovarian, gynecological and colorectal cancer predisposition test 22	APC ATM BMPR1A BRCA1 BRCA2 BRIP1 CDH1 CHEK2 EPCAM MLH1 MSH2 MSH6 MUTYH NBN PALB2 PMS2 PTEN RAD51C RAD51D SMAD4 STK11 TP53
GL-000753	Neuronal ceroid lipofuscinosis_CE 12	ATP13A2 CLN3 CLN5 CLN6 CLN8 CTSD DNAJC5 GRN KCTD7 MFSD8 PPT1 TPP1
GL-000754	Floating-Harbor syndrome and Rubinstein-Taybi syndrome_CE 3	CREBBP EP300 SRCAP
GL-000756	Polycystic kidney disease, nephrotic syndrome and focal segmental glomerulosclerosis_CE 44	ACTN4 ALG1 APOA1 B2M C3 CASP10 CD151 CD2AP CFH CFHR5 COL4A3 COL4A4 COL4A5 COQ2 COQ6 FGA FN1 GSN IFIH1 INF2 ITGA3 LAMB2 LMNA LMX1B LYZ MYO1E NPHS1 NPHS2 PAX2 PDSS1 PDSS2 PKD1 PKD2 PKHD1 PLCE1 PMM2 PTPRO SCARB2 SLC17A5 SMARCAL1 STIM1 TRPC6 TSC2 ZAP70
GL-000759	Hereditary rare cancer predisposition test_FA_SBDS 16	BRCA2 BRIP1 FANCA FANCB FANCC FANCD2 FANCE FANCF FANCG FANCI FANCL FANCM PALB2 RAD51C SBDS SLX4
GL-000762	Ophthalmo-acromelic syndrome_CE 1	SMOC1
GL-000767	Epilepsy and mitochondrial disorders_CE. 318	AARS AARS2 ABCB7 ABCC8 ACACA ACAD8 ACAD9 ACADL ACADM ACADS ACADSB ACADVL ACAT1 ACAT2 ADCK3 ADRA2B ADSL AFG3L2 AGK AGTR2 AIFM1 AKT3 ALDH7A1 ALG13 AMT AP3B2 APTX ARFGEF2 ASAH1 ASNS ATP13A2 ATP1A2 ATP1A3 ATP5E ATP6AP2 ATPAF2 BCS1L BOLA3 BRAT1 BTD C10ORF2 C12ORF65 C19ORF12 CACNA1A CACNA1G CACNA1H CACNB4 CASR CBL CDKL5 CHD2 CHRNA7 CHRNB2 CISD2 CLCN2 CLN3 CLN5 CLN6 CLN8 CNTNAP2 COA5 COL4A1 COL6A2 COQ2 COQ4 COQ6 COQ9 COX10 COX15 COX6B1 CPA6 CPS1 CPT1A CPT1B CPT2 CRH CSTB CTSD DARS2 DCX DGUOK DIABLO DLD DNAJC19 DNAJC5 DNM1 DNM1L DRD2 DYNC1H1 DYRK1A EARS2 EFHC1 EIF2B5 ELAC2 ETFA ETFB ETFDH ETHE1 FARS2 FASN FASTKD2 FH FIG4 FLNA FOLR1 FOXRED1 FXN GABBR1 GABRA1 GABRA6 GABRB3 GABRD GABRG2 GATM GCDH GFER GFM1 GLDC GOSR2 GPHN GRIK2 GRIN1 GRIN2A GRIN2B GRN HADH HADHA HADHB HARS2 HCCS HCN1 HMGCL HMGCS2 HNRNPU HOGA1 HSD17B10 HSD17B4 HSPD1 IDH2 IER3IP1 IQSEC2 ISCU ITPA JRK KANSL1 KCNA1 KCND2 KCNH2 KCNJ10 KCNJ2 KCNMA1 KCNQ2 KCNQ3 KCTD7 KIAA2022 LARS2 LGI1 LIAS LMNB2 LPIN1 LRPPRC MAGI2 MARS2 MBD5 MECP2 MEF2C MFN2 MFSD8 MLYCD MOCS1 MPV17 MRPL3 MRPS16 MRPS22 MTFMT MTHFR MTO1 MTPAP NARS2 NDUFA1 NDUFA10 NDUFA11 NDUFA12 NDUFA13 NDUFA2 NDUFA4 NDUFA9 NDUFAF1 NDUFAF2 NDUFAF3 NDUFAF4 NDUFAF5 NDUFAF6 NDUFB3 NDUFB9 NDUFS1 NDUFS2 NDUFS3 NDUFS4 NDUFS7 NDUFS8 NDUFV1 NDUFV2 NEB NEDD4L NEU1 NFU1 NHLRC1 NID1 NR2F1 NRXN1 NUBPL OPA1 OPA3 OXCT1 PCDH19 PCDHB4 PCK2 PDHA1 PDHB PDHX PDSS1 PDSS2 PHF6 PIGA PIGN PIGO PIGV PLCB1 PNKP PNPO POLG POLG2 PPARG PPP1R3C PPT1 PRICKLE1 PRICKLE2 PRRT2 PSEN1 PTEN PUS1 RARS2 RBFOX1 RELN ROGDI RRM2B RYR3 SACS SARS2 SCARB2 SCN1A SCN1B SCN2A SCN3A SCN4A SCN5A SCN8A SCN9A SCO1 SCO2 SDHA SDHAF2 SDHB SDHC SERPINI1 SLC19A3 SLC1A2 SLC22A5 SLC25A12 SLC25A13 SLC25A15 SLC25A20 SLC25A22 SLC25A3 SLC25A38 SLC25A4 SLC2A1 SLC6A1 SLC9A6 SMC1A SNIP1 SPG7 SPTAN1 SRPX2 ST3GAL3 ST3GAL5 STXBP1 SUCLA2 SUCLG1 SURF1 SYNGAP1 TACO1 TAZ TBC1D24 TBL1XR1 TCF4 TFB1M TIMM8A TK2 TMEM70 TPP1 TRMU TSC1 TSFM TTC19 TUFM TXN2 TYMP UBE3A UQCRB UQCRQ USP9X WDR62 WWOX XPNPEP3 YARS2 ZEB2
GL-000768	Wilson disease, organic acidemias, glycogen storage diseases and neurodegeneration with brain iron accumulation_CE 72	ABCD4 ACAT1 ACSF3 AGL ALDOA ASL ATP13A2 ATP7B BCKDHA BCKDHB BTD C19ORF12 C7ORF10 CD320 CP DBT DCAF17 DLD ENO3 ETFA ETFB ETFDH FA2H FTL G6PC G6PC3 GAA GBE1 GCDH GLYCTK GYG1 GYS1 GYS2 HLCS HMGCL IVD L2HGDH LAMP2 LDHA LMBRD1 MCCC1 MCCC2 MCEE MLYCD MMAA MMAB MMACHC MMADHC MTR MUT OXCT1 PANK2 PC PCCA PCCB PFKM PGAM2 PGM1 PHKA1 PHKA2 PHKB PHKG2 PLA2G6 PRKAG2 PYGL PYGM SLC2A2 SLC37A4 SUCLA2 SUCLG1 TCN2 WDR45
GL-000769	GNE-related myopathy_CE 1	GNE
GL-000770	Hereditary prostate and colorectal cancer predisposition test 17	APC ATM BMPR1A BRCA1 BRCA2 CDH1 CHEK2 EPCAM MLH1 MSH2 MSH6 MUTYH PMS2 PTEN SMAD4 STK11 TP53
GL-000774	Nephrotic syndrome_RD 17	ALG1 CASP10 COL4A3 COL4A4 COL4A5 COQ2 COQ9 FGA ITGB4 LAMB2 NPHS1 NPHS2 PDSS2 PLCE1 PMM2 SLC17A5 ZMPSTE24
GL-000775	Dihydropyrimidine dehydrogenase deficiency_RD 1	DPYD
GL-000776	Polycystic kidney disease, nephrotic syndrome and focal segmental glomerulosclerosis_CE_5743 43	ACTN4 ALG1 APOA1 B2M C3 CASP10 CD151 CD2AP CFH CFHR5 COL4A3 COL4A4 COL4A5 COQ2 COQ6 FGA FN1 GSN IFIH1 INF2 ITGA3 LAMB2 LMNA LMX1B LYZ MYO1E NPHS1 NPHS2 PAX2 PDSS1 PDSS2 PKD1 PKD2 PKHD1 PLCE1 PMM2 PTPRO SCARB2 SLC17A5 STIM1 TRPC6 TSC2 ZAP70
GL-000777	Hereditary rare cancer predisposition test_FA_SBDS_WITH RUNX1 17	BRCA2 BRIP1 FANCA FANCB FANCC FANCD2 FANCE FANCF FANCG FANCI FANCL FANCM PALB2 RAD51C RUNX1 SBDS SLX4
